product_id,product_name,price
362,Կոտլետ Կիևյան Լանչի,500
363,Կոտլետ Հավի ,646.63
364,Կոտլետ Հավի Լանչ,300
365,Կոտլետ Տնական,740.14
366,Կոտլետ Տնական Լանչ,500
367,Կորդոն Բլյու,1098.71
368,Կորեական Հավ,702.78
369,Կորեական Հավ Փոքր Բաժին,450
370,"Կորոնա 0,33լ Ապակե",1430
371,Կուպատի,650
372,Կվադրո Ֆորմաջի Պիցցա ,2320.91
373,Կրեպ ,303.75
374,Կրկնակի Սև Սուրճ ,400
375,Հաճար Սնկով ,633.33
376,Համեմված Կարագ,550
377,Հանքային Ջուր Բջնի 0.5 Պլ,250
378,Հանքային Ջուր Բջնի 1 Պլ,350
379,Հավ Ալֆռեդո,922.06
380,Հավ Ալֆռեդո Փոքր Բաժին,600
381,Հավ Կորեական Լանչի,300
382,Հավ Հնդկական,1050
383,Հավ Հնդկական Լանչի,300
384,Հավ Հնդկական Փոքր Բաժին,650
385,Հավի Ազդր  Փռում ,550
386,Հավի Բուդ Փռում ,700
387,Հավի Գրիլլ 1 Բաժին,500
388,Հավի Թևիկ Փռում,600
389,Հավի Իքիբիր,1100
390,Հավի Ծխեցված Կրծքամիս,950
391,Հավի Նագեթս,600
392,Հավի Շաուրմա Բագետ Հացով,1100
393,Հավի Շաուրմա Թոնրի Հացով,1199.01
394,Հավի Շնիցել,986.11
395,Հավի Ռուլետ Լավաշով,500
396,Հավի Ստրիպս,700
397,Հավի Ֆիլե Պանրով,1138.89
398,Հավի Ֆիլե Սերուցքով,2014
399,Հավով Աղցան,1092.47
400,Հավով Ապուր,850
401,Հատապտղային Սառը Թեյ,600
402,Հատապտղային Տաք Թեյ,950
403,Հարիսա,953.23
404,Հացի Տեսականի,550
405,Հացով Ձվածեղ,900
406,Հնդկաձավար,448.62
407,Հնդկաձավար Լանչի,250
408,Հոթ-Դոգ,200
409,Հոթ-Դոգ Պանրով,300
410,Հոնի  Կոմպոտ,250
411,Հոնի Կոմպոտ,428.57
412,Հորթի Իքիբիր,2000
413,Հորթի Խորոված,4612.5
414,Հորթի Մեդալյոն Կարտոֆիլով,5333.33
415,Հորթի Միս Սմբուկով ,1200
416,Հորթի Միս Սնկով ,1200
417,Հումուս,632.37
418,Հումուս Ավոկադոյով ,950
419,Հունական Աղցան,795.45
420,Հրաշք Աղցան,746.97
421,Հրաշք Աղցան  Լանչի,400
422,Ձաձիկի,585.34
423,Ձիթապտղի Տեսականի ,2090
424,Ձմերուկի Սառը Թեյ,600
425,ձու,100
426,Ձու Խաշած,130
427,Ձվածեղ,400
428,Ձվածեղ Բանջարեղենային ,550
429,Ձվածեղ Բաստուրմայով ,969
430,Ձվածեղ Երշիկով ,550
431,Ձվածեղ Խոզապուխտով,539
432,Ղաուրմա,2860
433,Ղաուրմա ,13000
434,Ղարս,600
435,Ճմուռ Կարտոֆիլ Լանչի,250
436,Մագուրո Մակի,1800
437,Մածնաբրդոշ Ապարան,400
438,Մածնաբրդոշ Դեգուստո 0.33լ,400
439,Մածնաբրդոշ Դեգուստո 0.5լ,550
440,Մածուն ,210
441,Մակառոն,300
442,Մակառոն Լանչ,250
443,Մակառոն Ֆլոտսկի,480
444,Մակառոն Ֆլոտսկի Փոքր Բաժին,550
445,Մակարոն Ֆլոտսկի,1000
446,Մակ-Հապալաս,950
447,Մայոնեզ ,200
448,Մայրաքաղաքային Աղցան,802.2
449,Մանգոյով Սառը Թեյ,600
450,Մարգարիտա Պիցցա ,2400
451,Մարիա Բանջարեղենով,1080
452,Մարիա Հավով Կոմբո,1500
453,Մարիա Սենդվիչ,1487.84
454,Մարիա Սենդվիչ Հավով,1500
455,Մարինատ Կծու Բիբար,250
456,Մեգրելական,2100
457,Մեգրելական Կտոր,450
458,Մեխիկո Աղցան,1980
459,Մեղրային Թխվածք,750
460,Մեղրիի Փախլավա,607.5
461,Մեքսիկական Աղցան,650
462,Մեքսիկանո,1078.85
463,Մեքսիկանո Լանչի,400
464,Մեքսիկանո Փոքր Բաժին,600
465,Միլանո Հաստ Խմորով,2400
466,Միլանո Պիցցա ,2300
467,Միկադո,800
468,Միմոզա,1100
469,Միս Ֆրանսիական Ձևով,3300
470,Միքս Ձվածեղ,700
471,Մոխիտո ,950
472,Մոխիտո Ելակով,1100
473,Մութաբալ,800
474,Մրգի Տեսականի,2625
475,Նարինջ Լայմ Անանուխ Ֆռեշ,1100
476,Նարինջ-Ելակ Ֆռեշ,1300
477,Նարինջ-Ելակ-Լայմ Ֆռեշ,1300
478,Նարինջ-Թուրինջ Ֆռեշ,1300
479,Նարինջի Ֆռեշ,1300
480,Նարինջով Դելիկատ,750
481,Նեսթլե,150
482,Նեսկաֆե Փոքր,250
483,"Նոյ 0,33",330
484,Նոյ Լիմոնադ 0.33,385
485,Նոր Կարտոֆիլ ,800
486,Նուտելլա,810
487,Նրբաբլիթ Բոլոնեզ Սոուսով ,500
488,Նրբաբլիթ Խոզապուխտ Պանրով ,500
489,Նրբաբլիթ Մսով,400
490,Նրբաբլիթ Վետչինա Պանրով,400
491,Նրբաբլիթի Լիստ Կիսաֆաբրիկատ,70
492,Նրբերշիկի Տեսականի,5720
493,Նրբերշիկի Տեսականի Մեծ,7480
494,Շաուրմա Խոզի ,1100
495,Շաուրմա Խոզի Ափսե,2000
496,Շաուրմա Խոզի Լավաշով,1496.33
497,Շաուրմա Խոզի Մեծ,1400
498,Շաուրմա Հավի,1000
499,Շաուրմա Հավի Ափսե ,1650
500,Շաուրմա Հավի Լավաշով,1400
501,Շաուրմա Հավի Մեծ,1300
502,Շիշ Թաուկ Կծու Սոուսով,1200
503,Շիշ Թաուկ Սխտորի Սոուսով,1200
504,Շոգեխաշած Բրոկոլլի,700
505,Շոթի Պուրի,230
506,Շոթի Պուրի 1 Բաժին,60
507,Ոլոռով Ձվածեղ,572
508,Ոչխարի Պանիր,527.78
509,Ոսկե Բանալի,700
510,Ոսպ Աջիկայով,550
511,Ոսպ Աջիկայով Կես Բաժին,300
512,Ոսպ Բրինձով,517.65
513,Ոսպով Ապուր,1100
514,Ուդոն Բանջարեղենով,1400
515,Ուդոն Ծովամթերքով,3500
516,Ուդոն Հավով,2200
517,Ուդոն Հորթի Մսով,2800
518,Ունագի Տառ-Տառ,3000
519,Չախոբիլի ,850
520,Չախոբիլի Լանչի,500
521,Չանախ Պանիր,550
522,Չեբուրեկի,500
523,Չերիով Աղցան,3300
524,Չիզ Ռոլ,2100
525,Չիզ Քեյք Դեգուստո ,963.57
526,Չիզ Քեյք Ելակով,1085
527,Չիզ Քեյք Շոկոլադե,1100
528,Չիզ Քեյք Պիստակով,1200
529,Չիքեն Դոմինո Պիցցա ,2453.33
530,Չիքեն Ռոլ,1800
531,Չոր Լավաշ ,220
532,Չորահաց,50
533,Պաղպաղակ,150
534,Պաղպաղակ Թարմ Մրգերով,700
535,Պաղպաղակ Շոկոլադե,450.55
536,Պաղպաղակ Վանիլային,450
537,Պանիր Լոռի,280
538,Պանրի Ձողիկներ ,1206
539,Պանրի Սոուս,200
540,Պանրի Տեսականի,2420
541,Պանրով Լահմաջո Տավարի ,899.44
542,Պասուց Դոլմա,500
543,Պաստա Ալֆռեդո,1400
544,Պաստա Ալֆռեդո Պենեյով,1800
545,Պաստա Արաբիատա,1100
546,Պաստա Կարբոնառա,1500
547,Պաստա Կարբոնառա Պենեյով,1900
