product,price
Ռեժան ,1320.00
Ռոլ Ավոկադո,3500.00
Ռոլ Էբի ,4100.00
Ռոլ Կալիֆոռնիա Խեցգետնով,3900.00
Ռոլ Կալիֆոռնիա Սաղմոնով,5000.00
Ռոլ Կանադա,3900.00
Ռոլ Սպայսի Թունա,3700.00
Ռոլ Տեմպորա Ունագի,3600.00
Ռոլ Ֆիլադելֆիա,3900.00
Ռոլլ Յուղաձկով և Տրյուֆելի Պաստայով,3200.00
Ռոստի ,834.63
Ռոստի  Լանչի,500.00
Ռուկոլայով և Սմբուկով Աղցան,3190.00
Սալյամի Գյուղական Կարտոֆիլով ,2310.00
Սարդելկա,350.00
Սարդելկա Լանչի,300.00
Սարդելկայով Ձվածեղ,650.00
Սեթ 1 (32),9000.00
Սեթ 2 (40),14900.00
Սեթ 4 (24),10900.00
Սեթ 7 (80),29000.00
Սենդվիչ Խոզի Ֆիլեով,900.00
Սենդվիչ Ծովախեցգետնով,2416.67
Սենդվիչ Պիցցա,1900.00
Սենդվիչ Ռոլ Սաղմոնով,3000.00
Սենդվիչ Սաղմոնով,1500.00
Սենդվիչ Վետչինայով,850.00
Սև Սուրճ ,181.64
Սթեյք Սենդվիչ,1497.41
Սթեյք Քաբաբ,2000.00
Սիգ Գաթա,1000.00
Սիցիլիա Պիցցա,2300.00
Սլավոնական  Կաղամբով,150.00
Սլավոնական Կարտոֆիլով,200.00
Սլավոնական Հավով,500.00
Սլավոնական Մսով,400.00
Սլավոնական Պանրով,300.00
Սլավոնական Վետչինա Պանրով,350.00
Սմբուկ Խորոված,500.00
Սմբուկի Ռուլետ ընկույզով,1650.00
Սմբուկի Ռուլետ Քամած Մածունով,1100.00
Սմբուկի Ռուլետ Ֆետայով ,1650.00
Սմբուկով Ռուլետ,198.00
Սյակե Մակի,1900.00
Սնկով Աղցան,1000.00
Սնկով Կրեմ ,1200.00
Սոբա Ծովամթերքով,3500.00
Սոբա Հավով,2200.00
Սոլյանկա,1211.36
Սոյայի Ծիլերով Աղցան,980.65
Սոուս Բանջարեղենային,100.00
Սոուս Կարմիր Կծու,100.00
Սոուս Սխտորի,100.00
Սուշի Սաղմոնով,900.00
Սուրճ Սև,385.00
Սուրճ Օրանժ,1300.00
Սպագետտի,400.00
Սպագետտի ,307.14
Սպագետտի Լանչի,250.00
Սպանախով Խինկալի,300.00
Սպանախով Ռուլետ,300.00
Սպաս,602.90
Սպիտակ Սոուս,100.00
"Սպրայթ 0,25լ",385.00
"Սպրայթ 0,5",450.00
Վաֆլի Նյուտելլայով,1500.00
Վեգան Սենդվիչ,700.00
Վեգետերյան Պիցցա ,2100.00
Վենեցիա Պիցցա,2300.00
Վերմիշել,265.00
Վինեգրետ  Լանչի,300.00
Տալյատելե,400.00
Տապակած Աստղաշուշան,800.00
Տապակած Բանջար,450.00
Տապակած Բանջարեղեն,660.71
Տապակած Դդմիկ,556.25
Տապակած Լոբի ,670.00
Տապակած Կախասունկ ,973.81
Տապակած Կախասունկ Փոքր Բաժին,600.00
Տապակած Կարտոֆիլ ,1641.67
Տապակած Սիբեխ,1300.00
Տապակած Սիբեխ Փոքր բաժին,650.00
Տապակած Սպանախ,950.00
Տավարի Լանգետ,1300.00
Տավարի Շաուրմա,1400.00
Տավարի Շաուրմա Ափսե,2000.00
Տավարի Շաուրմա Թոնրի Հացով ,1597.42
Տավարի Շաուրմա Լավաշով,1797.19
Տավարի Շաուրմա Մեծ,1800.00
Տարտ Ընկույզով,800.00
Տաք Ռոլլ Օձաձկով,3300.00
Տժվժիկ,1000.00
Տժվժիկ Լանչի,300.00
Տիրամիսու,900.00
Տյորենի Կոմպոտ,246.34
Տնական Բալի Կոմպոտ ,1628.57
Տնական Դեղձի Կոմպոտ ,1650.00
Տնական Թան,990.00
Տնական Թթու,1650.00
Տնական Թթու ,600.00
Տնական Խաշ Մսով,2912.00
Տնական Կարկանդակ,250.00
Տնական Կարկանդակ Մսով,400.00
Տնական Կարտոֆիլ ,408.14
Տնական Սոուս,1450.00
Տոմատի Հյութ Ապարան,280.00
Տուփ Մեծ,100.00
